Online Data Table VII,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Parent and Child Income Distributions by Commuting Zone,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: This table presents selected characteristics of the income distribution for parents and children by CZ. Column (3) reports the population (from the 2000 census). Columns 5-11 report statistics of the child family income distribution (measured as the 2011-12 mean) for our core sample (1980-82 birth cohorts). Columns 12-18 report statistics of the parent family income distribution (1996-2000 mean) for parents of children in the core sample.  All values are in 2012 dollars and are rounded to the nearest $100.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CZ,CZ Name,State,Children in 1980-82 Cohorts,Mean Child Income,Median Child Income,Child Income P10,Child Income P25,Child Income P75,Child Income P90,Child Income P99,Mean Parent Income,Median Parent Income,Parent Income P10,Parent Income P25,Parent Income P75,Parent Income P90,Parent Income P99
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18)
,,,,,,,,,,,,,,,,,
100,Johnson City,TN,18494,40200,29500,1200,11600,56600,84800,178300,66900,49200,14100,26100,78200,116300,370600
200,Morristown,TN,7760,36100,26100,1000,10300,52600,78800,163200,56200,42400,12600,22800,69700,100200,270300
301,Middlesborough,TN,2217,37200,24900,0,9000,51500,78400,158400,44500,33100,8500,16900,57700,83700,233100
302,Knoxville,TN,23805,42500,30700,1300,11800,60200,90500,204100,81200,56400,14500,28400,92900,140300,509900
401,Winston-Salem,NC,16103,42800,31800,1600,12900,60500,91600,193900,85400,62700,17400,31300,99700,147300,557000
402,Martinsville,VA,3269,38700,25500,500,10900,52000,87500,183600,57100,42300,14300,23500,67700,98600,367100
500,Greensboro,NC,33788,40300,28900,1000,11800,57400,88900,185000,82800,54400,16200,28100,90800,136000,511000
601,North Wilkesboro,NC,2958,38400,29000,1500,11800,56000,84400,161000,62500,45600,15300,25500,72000,108200,349700
602,Galax,VA,1877,40400,31600,1700,13600,57100,85200,172900,53900,44500,14800,25700,65600,91100,309300
700,Spartanburg,SC,12280,38800,27800,1200,12200,53600,83800,177000,69600,50000,15600,26600,83500,119800,404900
800,Gastonia,NC,14684,37500,27200,400,10600,53900,84100,170400,65000,51100,15500,27200,82700,114000,295400
900,Charlotte,NC,47059,42700,29200,1400,12600,58100,93000,209400,90100,60100,16500,29800,101400,157500,562900
1001,Boone,NC,2056,38700,29600,2600,12700,53700,81200,189300,65800,46700,14400,25400,73300,116900,452100
1002,Morganton,NC,5190,36400,28500,500,11700,53400,79300,151900,57300,48000,16300,27200,72200,98700,237400
1100,Hickory,NC,12536,39000,28700,800,11300,55700,84800,179800,72500,55300,17300,29800,84700,122300,441800
1201,Franklin,NC,1305,42600,32100,2900,14000,57600,81400,153200,67700,45600,14300,24600,72600,107400,269200
1202,Sylva,NC,1700,38300,28700,1900,12600,53300,78800,169000,52100,39300,13900,22800,65500,97200,264300
1203,Asheville,NC,12197,40600,30400,1300,12800,56600,85900,180900,73400,54400,15200,28700,86100,122900,420300
1204,Andrews,NC,1833,37300,30000,1800,12400,53300,81000,154000,107900,39500,12700,22500,65500,99400,286800
1301,Bennettsville,SC,3040,30900,20900,100,9000,41500,69700,144800,46300,30600,12100,19500,57000,86700,190000
