Online Data Table II,Unnamed: 1,Unnamed: 2
Marginal Income Distributions by Centile,,
,,
"Notes: This table presents the national income distributions corresponding to the centiles reported in Online Data Table I using the core sample (1980-82 birth cohorts) and baseline family income definitions. Column 2 lists the mean child family income in each centile of the child income distribution, while column 3 lists the mean parent family income in each centile of the parent family income distribution. The means are rounded to the nearest $100.",,
,,
,,
,,
Centile,Child Family Income,Parent Family Icnome
(1),(2),(3)
,,
,,
1,-43800,1700
2,0,4100
3,0,6100
4,0,7700
5,0,9200
6,0,10500
7,100,11800
8,500,12900
9,1300,14000
10,2300,15000
11,3300,16100
12,4300,17100
13,5200,18000
14,6100,19000
15,7000,20000
16,7800,21000
17,8700,21900
18,9400,22900
19,10200,23900
20,11000,24900
21,11700,25800
22,12500,26800
23,13200,27800
24,13900,28800
25,14600,29900
26,15300,30900
27,16000,31900
28,16700,33000
29,17500,34100
30,18200,35100
31,19000,36300
32,19700,37400
33,20500,38500
34,21300,39700
35,22100,40800
36,22900,42000
37,23700,43200
38,24500,44400
39,25300,45600
40,26100,46900
41,26900,48100
42,27700,49300
43,28500,50600
44,29400,51800
45,30200,53100
46,31100,54400
47,31900,55600
48,32800,56900
49,33700,58200
50,34600,59500
51,35500,60800
52,36500,62100
53,37400,63400
54,38400,64700
55,39300,66000
56,40300,67400
57,41400,68700
58,42400,70100
59,43500,71400
60,44600,72800
61,45800,74200
62,46900,75700
63,48100,77100
64,49400,78600
65,50600,80100
66,51900,81600
67,53300,83100
68,54600,84700
69,56000,86300
70,57500,88000
71,59000,89700
72,60500,91400
73,62100,93200
74,63700,95100
75,65400,97000
76,67100,99000
77,68800,101100
78,70600,103300
79,72500,105600
80,74400,107900
81,76400,110500
82,78500,113100
83,80600,116000
84,82900,119000
85,85300,122300
86,87800,125900
87,90500,129800
88,93400,134100
89,96500,139000
90,99900,144500
91,103600,150900
92,107800,158400
93,112700,167500
94,118400,179100
95,125300,194300
96,134000,215800
97,145700,248200
98,162900,303200
99,193300,420100
100,408400,1408800
