Online Data Table IV,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Intergenerational Mobility Statistics by Metropolitan Statistical Area,,,,,
,,,,,
Notes: This table presents mobility estimates by Metropolitan Statistical Area (CBSA codes) for the core sample. Number of children is the number of children in the MSA used to estimate the mobility statistics. Relative mobility (RM) is the slope from OLS regression of child rank on parent rank within each MSA in core sample using baseline income definitions. Relative mobility can be multiplied by the difference in parent ranks (on a 0-100 scale) to obtain the expected difference in child's rank (on a 0-100 scale).   Absolute upward mobility (AM) is the expected rank of children whose parents are at the 25th percentile of the national income distribution.  Expected ranks at other percentiles P between 0 and 100 can be computed as AM+(P-25)*RM. ,,,,,
,,,,,
,,,,,
,,,No. of Children in Core Sample,Relative Mobility Rank-Rank Slope,Absolute Upward
MSA ID,MSA Name,State,,,Mobility
-1,-2,-3,(4),(5),(6)
10180,Abilene, TX,6621,0.33022,44.6695
10420,Akron, OH,26124,0.38857,38.79825
10500,Albany, GA,6896,0.37424,34.391
10540,Albany, OR,4471,0.32176,39.464
10580,Albany-Schenectady-Troy, NY,27543,0.36649,43.09725
10740,Albuquerque, NM,26168,0.31311,39.41275
10780,Alexandria, LA,6585,0.39631,39.53675
10900,Allentown-Bethlehem-Easton, PA-NJ,25615,0.34772,45.106
11020,Altoona, PA,5019,0.35729,43.86725
11100,Amarillo, TX,9366,0.33394,43.1885
11180,Ames, IA,2456,0.26322,51.0605
11260,Anchorage, AK,12839,0.27202,45.0225
11460,Ann Arbor, MI,8610,0.33198,38.8785
11500,Anniston-Oxford-Jacksonville, AL,4985,0.39875,38.28575
11540,Appleton, WI,8375,0.28988,49.023
11700,Asheville, NC,11342,0.32125,38.97325
12020,Athens-Clarke County, GA,4905,0.39059,34.96575
12060,Atlanta-Sandy Springs-Roswell, GA,115186,0.36379,36.14175
12100,Atlantic City-Hammonton, NJ,8102,0.40676,38.88
12220,Auburn-Opelika, AL,3272,0.38355,36.66875
12260,Augusta-Richmond County, GA-SC,20921,0.37312,36.415
12420,Austin-Round Rock, TX,38107,0.32581,40.02325
12540,Bakersfield, CA,25043,0.25608,45.296
12580,Baltimore-Columbia-Towson, MD,86346,0.41157,38.90125
12620,Bangor, ME,5462,0.31763,42.26675
12700,Barnstable Town, MA,6471,0.27446,44.9975
12940,Baton Rouge, LA,29574,0.40528,39.319
12980,Battle Creek, MI,5462,0.39334,36.8625
13020,Bay City, MI,4296,0.35821,41.16625
13140,Beaumont-Port Arthur, TX,17160,0.34845,42.94725
13220,Beckley, WV,4637,0.33218,43.9875
13380,Bellingham, WA,5809,0.27619,44.12275
13460,Bend-Redmond, OR,4248,0.2563,42.2015
13740,Billings, MT,5657,0.25525,47.24225
13780,Binghamton, NY,9401,0.34855,42.60775
13820,Birmingham-Hoover, AL,39669,0.39174,37.5595
13900,Bismarck, ND,4410,0.30194,51.0815
13980,Blacksburg-Christiansburg-Radford, VA,4251,0.38712,39.084
14010,Bloomington, IL,5799,0.35033,43.22725
14020,Bloomington, IN,3879,0.3538,38.448
14100,Bloomsburg-Berwick, PA,2992,0.35762,46.1015
14260,Boise City, ID,18044,0.25875,42.54775
14460,Boston-Cambridge-Newton, MA-NH,126826,0.31861,44.68725
14500,Boulder, CO,9736,0.19733,46.78025
14540,Bowling Green, KY,4714,0.36164,40.007
14740,Bremerton-Silverdale, WA,9246,0.27494,42.7295
14860,Bridgeport-Stamford-Norwalk, CT,25404,0.3547,42.8935
15180,Brownsville-Harlingen, TX,13814,0.22652,43.521
15260,Brunswick, GA,3375,0.32316,36.181
15380,Buffalo-Cheektowaga-Niagara Falls, NY,41269,0.37223,42.35375
15500,Burlington, NC,4106,0.40185,36.52225
15540,Burlington-South Burlington, VT,6846,0.31981,43.22125
15680,California-Lexington Park, MD,3373,0.38303,44.27975
15940,Canton-Massillon, OH,15765,0.40486,40.0345
15980,Cape Coral-Fort Myers, FL,11034,0.30922,39.1355
16020,Cape Girardeau, MO-IL,3242,0.4025,40.5865
16060,Carbondale-Marion, IL,3908,0.36307,40.84275
16180,Carson City, NV,1793,0.27211,41.86775
16220,Casper, WY,2940,0.29286,49.4555
16300,Cedar Rapids, IA,8768,0.30007,46.88675
16540,Chambersburg-Waynesboro, PA,4393,0.32566,46.1855
16580,Champaign-Urbana, IL,6680,0.37763,41.76675
16620,Charleston, WV,8826,0.34053,41.06025
16700,Charleston-North Charleston, SC,19734,0.34153,37.83625
16740,Charlotte-Concord-Gastonia, NC-SC,56836,0.39977,35.63825
16820,Charlottesville, VA,5658,0.36438,39.0105
16860,Chattanooga, TN-GA,17237,0.3609,37.9435
16940,Cheyenne, WY,3321,0.28461,45.17525
16980,Chicago-Naperville-Elgin, IL-IN-WI,314002,0.38954,39.5355
17020,Chico, CA,6612,0.28259,41.30275
17140,Cincinnati, OH-KY-IN,78164,0.4277,37.9255
17300,Clarksville, TN-KY,7395,0.35367,38.51175
17420,Cleveland, TN,3521,0.32485,39.29925
17460,Cleveland-Elyria, OH,79249,0.4088,37.858
17660,Coeur d'Alene, ID,4293,0.2264,44.835
17780,College Station-Bryan, TX,5546,0.34253,41.74425
17820,Colorado Springs, CO,20265,0.28333,41.39325
17860,Columbia, MO,4257,0.358,39.898
17900,Columbia, SC,23351,0.39318,36.1915
17980,Columbus, GA-AL,11213,0.36874,35.4455
18020,Columbus, IN,2570,0.39848,38.959
18140,Columbus, OH,58342,0.4086,37.574
18580,Corpus Christi, TX,18539,0.30652,43.027
18700,Corvallis, OR,2433,0.26709,42.08725
18880,Crestview-Fort Walton Beach-Destin, FL,7585,0.31883,40.55075
19060,Cumberland, MD-WV,3662,0.36921,43.42325
19100,Dallas-Fort Worth-Arlington, TX,178655,0.33887,40.88775
19140,Dalton, GA,4331,0.36825,37.37125
19180,Danville, IL,3380,0.39856,40.762
19300,Daphne-Fairhope-Foley, AL,5061,0.3361,39.6475
19340,Davenport-Moline-Rock Island, IA-IL,15733,0.36149,43.47225
19380,Dayton, OH,31002,0.40612,37.159
19460,Decatur, AL,5716,0.35363,39.23175
19500,Decatur, IL,4635,0.43127,39.52975
19660,Deltona-Daytona Beach-Ormond Beach, FL,13975,0.29632,39.661
