Online Data Table VI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
Quintile Transition Matrices by Commuting Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: This table presents quintile transition matrices of child and parent income by CZ using the 1980-85 birth cohorts and the baseline family income definitions. Columns 3-27 report the probability that the child has family income in a given quintile of the national child income distribution conditional on having parents with family income in a given quintile of national parent income distribution. Columns 28-32 report the fraction of parents in the CZ that fall into the five national quintiles of the parent income distribution (the marginal distribution of parent income). Columns 33-37 report the fraction of children in the CZ that fall into the five national quintiles of the child income distribution (the marginal distribution of child income). In CZs where the number of children in any quintile-quintile bin is less than 10, we add random uniform noise over {-1, 0, 1} to all bin counts before we compute probabilities; CZs with at least 10 children in every quintile-quintile bin are not affected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ,CZ Name,State,Children in 1980-85 Cohorts,P(Child q1 |Par q1),P(Child q2 |Par q1),P(Child q3 |Par q1),P(Child q4 |Par q1),P(Child q5 |Par q1),P(Child q1 |Par q2),P(Child q2 |Par q2),P(Child q3 |Par q2),P(Child q4 |Par q2),P(Child q5 |Par q2),P(Child q1 |Par q3),P(Child q2 |Par q3),P(Child q3 |Par q3),P(Child q4 |Par q3),P(Child q5 |Par q3),P(Child q1 |Par q4),P(Child q2 |Par q4),P(Child q3 |Par q4),P(Child q4 |Par q4),P(Child q5 |Par q4),P(Child q1 |Par q5),P(Child q2 |Par q5),P(Child q3 |Par q5),P(Child q4 |Par q5),P(Child q5 |Par q5),P(Par q1),P(Par q2),P(Par q3),P(Par q4),P(Par q5),P(Child Q1),P(Child Q2),P(Child Q3),P(Child Q4),P(Child Q5)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Johnson City,TN,37362,0.3902275,0.2631402,0.1622773,0.1221562,0.0621988,0.2808458,0.2402429,0.2093128,0.172759,0.0968395,0.1945168,0.2092444,0.2103772,0.2200068,0.1658548,0.1383355,0.1715938,0.2034062,0.2578728,0.2287918,0.1211919,0.129642,0.1736713,0.2452746,0.3302201,0.2388255,0.2379691,0.2362561,0.1665864,0.1203629,0.2436165,0.2136395,0.1930571,0.1947433,0.1549435
200,Morristown,TN,15856,0.4001352,0.2603697,0.1656898,0.1201533,0.0536519,0.2899619,0.2431018,0.2007612,0.1712655,0.0949096,0.1894822,0.2195717,0.220656,0.2268908,0.1433993,0.1368644,0.1754237,0.2008475,0.2572034,0.229661,0.1216795,0.1559554,0.1945159,0.2313625,0.2964867,0.2797679,0.2651362,0.2326564,0.1488396,0.0735999,0.2622351,0.2259712,0.1951312,0.1871216,0.1295409
301,Middlesborough,TN,4552,0.4042793,0.2393018,0.1570946,0.1266892,0.0726351,0.2924303,0.2358566,0.1880478,0.174502,0.1091633,0.1975851,0.2217344,0.1877058,0.2118551,0.1811197,0.1407767,0.1820388,0.2135922,0.2160194,0.2475728,0.1161616,0.1414141,0.1616162,0.2525252,0.3282828,0.3901582,0.275703,0.2001318,0.0905097,0.0434974,0.2956942,0.2253954,0.177065,0.1704745,0.1313708
302,Knoxville,TN,48641,0.3999232,0.2747791,0.1574145,0.111602,0.0562812,0.2857001,0.2429888,0.1995838,0.1678724,0.1038549,0.2016941,0.2027902,0.2145491,0.2179372,0.1630294,0.1470086,0.1680555,0.2013889,0.2443376,0.2392094,0.129475,0.1377102,0.1838042,0.2288688,0.3201418,0.2140581,0.2074587,0.2063074,0.1924303,0.1797455,0.2380502,0.2081577,0.1911556,0.191834,0.1708024
401,Winston-Salem,NC,33466,0.4055216,0.2896346,0.1591999,0.1008431,0.0448008,0.2791968,0.2613318,0.2069984,0.1550273,0.0974457,0.1990964,0.210241,0.2290663,0.2159639,0.1456325,0.1443314,0.1752898,0.2150127,0.246678,0.2186882,0.1177489,0.1252525,0.1867244,0.2415584,0.3287157,0.1807506,0.2023845,0.1984103,0.2113787,0.2070758,0.2241977,0.2099444,0.2002331,0.1946154,0.1710094
402,Martinsville,VA,6742,0.3941685,0.2813175,0.1652268,0.1074514,0.0518359,0.2875606,0.266559,0.2003231,0.1443188,0.1012386,0.1979434,0.2287918,0.1973008,0.2069409,0.1690231,0.122807,0.1644737,0.2116228,0.2182018,0.2828947,0.1168142,0.1292035,0.1752212,0.2477876,0.3309734,0.2746959,0.2754376,0.230792,0.1352714,0.083803,0.2595669,0.2365767,0.1894097,0.1673094,0.1471373
500,Greensboro,NC,69646,0.3946773,0.2982372,0.1648947,0.0947939,0.0473969,0.2944926,0.2649134,0.2016089,0.1495049,0.0894802,0.1950733,0.2194219,0.2187811,0.2142247,0.1524989,0.1428252,0.1795751,0.2139396,0.2430861,0.220574,0.1152368,0.1387384,0.1860912,0.2392102,0.3207234,0.20933,0.2320306,0.2016771,0.192617,0.1643454,0.2367401,0.2255406,0.1972116,0.1838727,0.156635
601,North Wilkesboro,NC,5927,0.3807502,0.2583157,0.1832979,0.1259731,0.0516631,0.2569028,0.2533013,0.2178871,0.1668667,0.105042,0.1997226,0.2004161,0.2191401,0.2163662,0.1643551,0.1182033,0.1572104,0.2056738,0.2659574,0.2529551,0.1160714,0.1392857,0.2,0.2071429,0.3375,0.2384005,0.2810866,0.2432934,0.1427366,0.0944829,0.2394129,0.2171419,0.2065126,0.1871098,0.1498228
