Online Data Table IX,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Commuting Zone Characteristics: Definitions and Data Sources,,,,
,,,,
"Notes: This table provides a description of each variable used in Section V and reported in Online Data Table VIII.  For variables obtained at lower levels of aggregation (e.g. counties), we construct population-weighted means at the CZ level.  See Appendix D for further details on data sources and construction of the variables.",,,,
,,,,
,,,,
,,,,
,,,,
,Variable,Definition,,Source
,(1),(2),,(3)
,,,,
,,,,
Segregation,Fraction Black,Number of individuals who are black alone divided by total population,,2000 Census SF1 100% Data Table P008
,,,,
,Racial Segregation,"Multi-group Theil Index calculated at the census-tract level over four groups: White alone, Black alone, Hispanic, and Other",,2000 Census SF1 100% Data Table P008
,Income Segregation,Rank-Order index estimated at the census-tract level using equation (13) in Reardon (2011); the δ vector is given in Appendix A4 of Reardon's paper. H(pk) is computed for each of the income brackets given in the 2000 census. See Appendix D for further details.,,2000 Census SF3 Sample Data Table P052
,,,,
,Segregation of Poverty (<p25),H(p25) estimated following Reardon (2011); we compute H(p) for 16 income groups defined by the 2000 census. We estimate H(p25) using a fourth-order polynomial of the weighted linear regression in equation (12) of Reardon (2011).,,2000 Census SF3 Sample Data Table P052
,,,,
,Segregation of Affluence (>p75),"Same definition as segregation of poverty, but using p75 instead of p25",,2000 Census SF3 Sample Data Table P052
,,,,
,Fraction with Commute < 15 Mins,Number of workers that commute less than 15 minutes to work divided by total number of workers. Sample restricts to workers that are 16 or older and not working at home. ,,2000 Census SF3 Sample Data Table P031
,,,,
,,,,
Income Inequality,Household Income per Capita,Aggregate household income in the 2000 census divided by the number of people aged 16-64,,2000 Census SF3 Sample Data Table P054
,,,,
,Gini,"Gini coefficient computed using parents of children in the core sample, with income topcoded at $100 million in 2012 dollars",,"Tax Records, Core Sample"
,,,,
,Top 1% Income Share,"The fraction of income within a CZ going to the top 1% defined within the CZ, computed using parents of children in the core sample",,"Tax Records, Core Sample"
,,,,
,Gini Bottom 99%,Gini coefficient minus top 1% income share,,"Tax Records, Core Sample"
,,,,
,Fraction Middle Class (between p25 and p75),Fraction of parents (in the core sample) whose income falls between the 25th and 75th percentile of the national parent income distribution,,"Tax Records, Core Sample"
,,,,
,,,,
Tax,Local Tax Rate,Total tax revenue per capita divided by mean household income per capita for working age adults (in 2000),,1992 Census of Government county-level summaries
,,,,
,Local Govt Expenditures Per Capita,Total local government expenditures per capita,,1992 Census of Government county-level summaries
,Tax Progressivity,"The difference between the state income tax rate for incomes above $100,000 and incomes in the bottom tax income bracket",,2008 state income tax rates from the Tax Foundation
,,,,
,State EITC Exposure,"The mean state EITC top-up rate between 1980-2001, with the rate coded as zero for states with no state EITC",,Hotz and Scholz (2003)
,,,,
,,,,
K-12 Education,School Expenditure per Student,Average expenditures per student in public schools,,NCES CCD 1996-1997 Financial Survey
,,,,
,Student Teacher Ratio,Average student-teacher ratio in public schools,,NCES CCD 1996-1997 Universe Survey
,,,,
,Test Score Percentile (Income adjusted),Residual from a regression of mean math and English standardized test scores on household income per capita in 2000,,George Bush Global Report Card
,,,,
,High School Dropout Rate (Income adjusted),Residual from a regression of high school dropout rates on household income per capita in 2000. Coded as missing for CZs in which dropout rates are missing for more than 25% of school districts.,,NCES CCD 2000-2001
,,,,
,,,,
,,,,
College,Number of Colleges per Capita,"Number of Title IV, degree offering insitutions per capita",,IPEDS 2000
,,,,
,College Tuition,"Mean in-state tuition and fees for first-time, full-time undergraduates",,IPEDS 2000
,College Graduation Rate (Income Adjusted),Residual from a regression of graduation rate (the share of undergraduate students that complete their degree in 150% of normal time) on household income per capita in 2000,,IPEDS 2009
,,,,
Local Labor Market,Labor Force Participation,Share of people at least 16 years old that are in the labor force,,2000 Census SF3 Sample Data Table P043
,Share Working in Manufacturing,Share of employed persons 16 and older working in manufacturing. ,,2000 Census SF3 Sample Data Table P049
,Growth in Chinese Imports,"Percentage growth in imports from China per worker between 1990 and 2000, scaled as an annualized rate times 10",,"Autor, Dorn, and Hanson (2013)"
,,,,
,Teenage (14-16) Labor Force Participation,Fraction of children in birth cohorts 1985-1987 who received a W2 (i.e. had positive wage earnings) in any of the tax years when they were age 14-16,,"Tax Records, Extended Sample"
,,,,
,,,,
,,,,
Migration,Migration Inflow Rate,Migration into the CZ from other CZs (divided by CZ population from 2000 Census),,IRS Statistics of Income 2004-2005
,Migration Outlflow Rate,Migration out of the CZ from other CZs (divided by CZ population from 2000 Census),,IRS Statistics of Income 2004-2005
,Fraction Foreign Born,Share of CZ residents born outside the United States,,2000 Census SF3 Sample Data Table P021
,,,,
,,,,
Social Capital,Social Capital Index,"Standardized index combining measures of voter turnout rates, the fraction of people who return their census forms, and measures of participation in community organizations",,Rupasingha and Goetz (2008)
,,,,
,Fraction Religious,Share of religious adherents,,Association of Religion Data Archives
,,,,
,Violent Crime Rate,Number of arrests for serious violent crimes per capita,,Uniform Crime Reports
,,,,
,,,,
Family Structure,Fraction of Children with Single Mothers,Number of single female households with children divided by total number of households with children,,2000 Census SF3 Sample Data Table P015
,,,,
,Fraction of Adults Divorced,Fraction of people 15 or older who are divorced,,2000 Census SF3 Sample Data Table P018
,,,,
,Fraction of Adults Married,Fraction of people 15 or older who are married and not separated,,2000 Census SF3 Sample Data Table P018
