GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,1-person household:
VD03,1-person household: - Male householder
VD04,1-person household: - Female householder
VD05,2 or more person household:
VD06,2 or more person household: - Family households:
VD07,2 or more person household: - Family households: - Married-couple family:
VD08,2 or more person household: - Family households: - Married-couple family: - With own children under 18 years
VD09,2 or more person household: - Family households: - Married-couple family: - No own children under 18 years
VD10,2 or more person household: - Family households: - Other family:
VD11,"2 or more person household: - Family households: - Other family: - Male householder, no wife present:"
VD12,"2 or more person household: - Family households: - Other family: - Male householder, no wife present: - With own children under 18 years"
VD13,"2 or more person household: - Family households: - Other family: - Male householder, no wife present: - No own children under 18 years"
VD14,"2 or more person household: - Family households: - Other family: - Female householder, no husband present:"
VD15,"2 or more person household: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years"
VD16,"2 or more person household: - Family households: - Other family: - Female householder, no husband present: - No own children under 18 years"
VD17,2 or more person household: - Nonfamily households:
VD18,2 or more person household: - Nonfamily households: - Male householder
VD19,2 or more person household: - Nonfamily households: - Female householder
