GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHH,AIANHHA,TRACTA,C_CITYA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,DIVISION,DIVISIONA,MSA_CMSA,MSA_CMSAA,PLACE,PLACEA,PMSA,PMSAA,REGION,REGIONA,STATE,STATEA,URB_AREA,URB_AREAA,ANPSADPI,FGW001
G0100010,1990,"","","","","","","",Autauga,001,"","","",6,"",5240,"","","",9999,"",3,Alabama,01,"","",Autauga County,380548872
G0100030,1990,"","","","","","","",Baldwin,003,"","","",6,"",5160,"","","",9999,"",3,Alabama,01,"","",Baldwin County,1196899944
G0100050,1990,"","","","","","","",Barbour,005,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Barbour County,239310930
G0100070,1990,"","","","","","","",Bibb,007,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Bibb County,148624412
G0100090,1990,"","","","","","","",Blount,009,"","","",6,"",1000,"","","",9999,"",3,Alabama,01,"","",Blount County,397835643
G0100110,1990,"","","","","","","",Bullock,011,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Bullock County,73314254
G0100130,1990,"","","","","","","",Butler,013,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Butler County,171680902
G0100150,1990,"","","","","","","",Calhoun,015,"","","",6,"",0450,"","","",9999,"",3,Alabama,01,"","",Calhoun County,1208369809
G0100170,1990,"","","","","","","",Chambers,017,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Chambers County,367720325
G0100190,1990,"","","","","","","",Cherokee,019,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Cherokee County,191462597
G0100210,1990,"","","","","","","",Chilton,021,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Chilton County,318034327
G0100230,1990,"","","","","","","",Choctaw,023,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Choctaw County,153233890
G0100250,1990,"","","","","","","",Clarke,025,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Clarke County,244843514
G0100270,1990,"","","","","","","",Clay,027,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Clay County,125429218
G0100290,1990,"","","","","","","",Cleburne,029,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Cleburne County,125239966
