GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHH,AIANHHA,RES_TRSTA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,DIVISION,DIVISIONA,MSA_CMSA,MSA_CMSAA,PLACE,PLACEA,PMSA,PMSAA,REGION,REGIONA,STATE,STATEA,URBRURALA,URB_AREA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E1L001,E1L002,E1L003,E1L004,E1L005,E1L006,E1L007,E1L008,E1L009,E1L010,E1L011,E1L012,E1L013,E1L014,E1L015,E1L016,E1L017,E1L018,E1L019,E1L020,E1L021,E1L022,E1L023,E1L024,E1L025,E1L026,E1L027,E1L028,E1L029,E1L030,E1L031
G0100010,1990,"","","","","","","","","","",Autauga,001,"","","",6,"",5240,"","","",9999,"",3,Alabama,01,"","","","","",Autauga County,474,1050,1105,512,509,1681,1116,1287,590,599,603,538,629,520,584,407,1157,2652,2906,2568,2193,2326,1791,1607,585,854,1132,892,634,441,280
G0100030,1990,"","","","","","","","","","",Baldwin,003,"","","",6,"",5160,"","","",9999,"",3,Alabama,01,"","","","","",Baldwin County,1131,2734,2836,1451,1602,4040,2935,3054,1237,1399,1575,1461,1492,1391,1147,1090,3082,7165,7414,7109,6780,6090,5058,4917,1786,3374,5283,3878,2839,1729,1201
G0100050,1990,"","","","","","","","","","",Barbour,005,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Barbour County,342,793,750,417,459,1385,868,753,388,437,440,406,423,387,241,351,875,1965,1769,1897,1733,1286,1118,1088,459,661,1063,1000,831,499,333
G0100070,1990,"","","","","","","","","","",Bibb,007,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Bibb County,173,493,492,250,258,878,558,534,287,353,279,274,274,251,286,165,706,1305,1243,1034,1048,1166,795,709,281,388,659,522,418,238,259
G0100090,1990,"","","","","","","","","","",Blount,009,"","","",6,"",1000,"","","",9999,"",3,Alabama,01,"","","","","",Blount County,477,1132,1063,498,545,1408,1194,1212,655,589,571,764,481,675,477,500,1766,2966,2980,2994,2684,2525,2247,1864,792,1075,1648,1278,1029,740,419
G0100110,1990,"","","","","","","","","","",Bullock,011,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Bullock County,176,315,419,135,179,554,446,371,231,243,157,196,158,122,103,88,422,856,839,862,669,515,435,384,138,256,518,487,429,200,139
G0100130,1990,"","","","","","","","","","",Butler,013,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Butler County,276,743,602,386,302,1274,759,735,379,351,383,396,351,312,277,229,647,1267,1720,1573,1368,987,962,909,412,612,846,1070,819,549,396
G0100150,1990,"","","","","","","","","","",Calhoun,015,"","","",6,"",0450,"","","",9999,"",3,Alabama,01,"","","","","",Calhoun County,1301,3090,2886,1463,1511,4931,3426,3580,1669,1937,1509,1743,2206,2658,2485,2058,5136,9227,9366,8722,7888,6688,5488,5578,2058,3044,4894,3821,2837,1784,1050
G0100170,1990,"","","","","","","","","","",Chambers,017,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Chambers County,429,1014,947,582,625,1601,1096,1033,478,562,585,607,635,618,543,419,1421,2498,2767,2636,2353,2037,1662,1860,640,1058,1685,1654,1415,899,517
G0100190,1990,"","","","","","","","","","",Cherokee,019,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Cherokee County,194,484,434,144,191,793,617,633,272,240,314,307,356,311,244,229,826,1227,1539,1363,1577,1069,1189,1130,364,607,943,808,611,343,184
G0100210,1990,"","","","","","","","","","",Chilton,021,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Chilton County,389,896,929,449,481,1384,1054,1058,430,597,520,548,502,425,349,313,1353,2317,2754,2407,2155,1945,1576,1523,657,911,1267,1243,965,671,390
G0100230,1990,"","","","","","","","","","",Choctaw,023,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Choctaw County,190,492,451,274,193,794,606,511,264,309,268,296,272,328,218,179,567,1106,1185,1099,922,1000,870,811,271,323,674,503,396,363,283
G0100250,1990,"","","","","","","","","","",Clarke,025,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Clarke County,373,871,704,468,355,1376,1072,903,540,429,526,567,475,459,459,337,1041,1904,2098,1745,1782,1548,1354,1093,413,771,1044,815,844,473,401
G0100270,1990,"","","","","","","","","","",Clay,027,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Clay County,154,317,297,150,177,618,407,365,149,226,225,222,227,185,162,210,502,797,1109,750,897,779,784,622,262,407,602,554,501,278,317
G0100290,1990,"","","","","","","","","","",Cleburne,029,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Cleburne County,119,429,326,221,132,596,352,361,199,179,190,204,167,255,152,140,607,947,961,877,769,846,745,715,239,279,475,517,365,220,146
G0100310,1990,"","","","","","","","","","",Coffee,031,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Coffee County,483,1053,1097,547,570,1787,1159,1138,545,625,673,694,582,631,502,507,1673,3300,3149,2895,2927,2351,2311,1860,811,1059,1756,1354,945,773,483
G0100330,1990,"","","","","","","","","","",Colbert,033,"","","",6,"",2650,"","","",9999,"",3,Alabama,01,"","","","","",Colbert County,539,1392,1412,659,712,1850,1598,1557,618,709,629,818,737,785,711,694,1935,3773,4019,3522,3667,3373,2941,2793,991,1656,2536,2119,1414,831,676
G0100350,1990,"","","","","","","","","","",Conecuh,035,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Conecuh County,149,412,382,173,174,673,582,435,235,216,200,207,300,189,197,137,431,1044,988,937,848,730,666,606,281,432,671,680,436,412,231
G0100370,1990,"","","","","","","","","","",Coosa,037,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Coosa County,136,321,290,148,144,521,307,310,183,162,239,114,178,190,127,141,368,992,839,765,641,575,607,526,297,334,549,440,357,161,101
G0100390,1990,"","","","","","","","","","",Covington,039,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Covington County,405,1014,905,487,569,1517,1042,1170,509,568,532,625,486,499,490,373,1197,2341,2912,2492,2445,1867,1923,1905,771,1155,1782,1704,1349,891,553
G0100410,1990,"","","","","","","","","","",Crenshaw,041,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Crenshaw County,90,455,351,253,160,665,372,412,204,239,244,192,205,204,161,106,525,840,930,957,858,704,691,639,303,379,777,633,491,330,265
G0100430,1990,"","","","","","","","","","",Cullman,043,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Cullman County,680,1874,1899,1026,904,2936,1981,1793,932,1026,936,939,1098,1107,961,971,2641,4967,5333,4770,4421,4370,3541,3177,1452,2104,3156,2429,2040,1179,970
G0100450,1990,"","","","","","","","","","",Dale,045,"","","",6,"",2180,"","","",9999,"",3,Alabama,01,"","","","","",Dale County,708,1885,1632,806,634,2406,1502,1463,662,779,703,666,764,969,894,920,2982,5143,4779,3292,3203,2582,2091,1762,779,1050,1652,1054,851,571,449
G0100470,1990,"","","","","","","","","","",Dallas,047,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Dallas County,667,1559,1560,787,995,2766,1652,1575,841,935,805,927,987,781,714,507,1652,3589,3472,3656,2839,2233,1971,1959,778,1282,1947,1654,1404,892,744
G0100490,1990,"","","","","","","","","","",DeKalb,049,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",DeKalb County,607,1375,1381,667,793,2275,1756,1684,745,827,982,798,799,861,920,649,2048,3831,4351,3651,4191,3336,2713,2662,1091,1628,2454,2045,1777,946,808
G0100510,1990,"","","","","","","","","","",Elmore,051,"","","",6,"",5240,"","","",9999,"",3,Alabama,01,"","","","","",Elmore County,594,1353,1328,757,782,2030,1390,1510,764,800,707,994,637,788,662,813,1869,4409,4323,4107,3468,2889,2372,2231,823,1180,1791,1434,1077,734,594
G0100530,1990,"","","","","","","","","","",Escambia,053,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Escambia County,294,1060,944,542,490,1593,1212,1040,518,557,570,668,570,645,521,436,1331,2645,2778,2518,2482,2073,1845,1656,545,1075,1356,1328,1190,576,460
G0100550,1990,"","","","","","","","","","",Etowah,055,"","","",6,"",2880,"","","",9999,"",3,Alabama,01,"","","","","",Etowah County,915,2564,2440,1325,1434,4016,3046,2785,1362,1436,1628,1566,1390,1748,1331,1536,3646,6922,7366,7295,7029,5896,5072,4966,2210,3044,5264,4221,3366,1771,1250
G0100570,1990,"","","","","","","","","","",Fayette,057,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","","","","",Fayette County,126,551,370,195,230,817,572,570,282,301,233,313,299,338,279,195,619,1161,1373,1275,1237,1079,953,788,325,569,896,673,615,460,268
