GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
8600000US00601,00601,ZCTA5 00601,19143,19081,0,700,588,67,41,4,18381,18374,0,7,62,26,36
8600000US00602,00602,ZCTA5 00602,42042,41817,0,3392,2631,595,147,19,38425,38344,5,76,225,115,110
8600000US00603,00603,ZCTA5 00603,55592,55104,0,4702,3827,378,410,87,50402,50312,7,83,488,273,215
8600000US00604,00604,ZCTA5 00604,3844,3670,0,730,311,100,177,142,2940,2916,0,24,174,108,66
8600000US00606,00606,ZCTA5 00606,6449,6394,0,223,195,23,0,5,6171,6156,0,15,55,22,33
8600000US00610,00610,ZCTA5 00610,28005,27823,0,1575,1303,172,83,17,26248,26190,7,51,182,92,90
8600000US00612,00612,ZCTA5 00612,72865,71925,0,5075,3935,796,238,106,66850,66663,15,172,940,426,514
8600000US00616,00616,ZCTA5 00616,10525,10453,0,813,672,112,21,8,9640,9627,0,13,72,25,47
8600000US00617,00617,ZCTA5 00617,23223,23160,0,1469,1234,172,63,0,21691,21652,10,29,63,34,29
8600000US00622,00622,ZCTA5 00622,8284,8101,0,745,632,37,34,42,7356,7327,0,29,183,100,83
8600000US00623,00623,ZCTA5 00623,38627,38333,0,2692,2444,103,113,32,35641,35574,0,67,294,175,119
8600000US00624,00624,ZCTA5 00624,26719,26562,0,1319,976,138,62,143,25243,25199,0,44,157,87,70
8600000US00627,00627,ZCTA5 00627,35244,34984,0,2891,2139,513,200,39,32093,32034,0,59,260,119,141
8600000US00631,00631,ZCTA5 00631,2169,2169,0,74,65,0,9,0,2095,2095,0,0,0,0,0
8600000US00637,00637,ZCTA5 00637,25935,25669,0,1748,1535,103,91,19,23921,23844,0,77,266,134,132
8600000US00638,00638,ZCTA5 00638,19648,19505,0,1065,738,257,60,10,18440,18439,0,1,143,60,83
8600000US00641,00641,ZCTA5 00641,35095,34960,0,1928,1428,323,154,23,33032,33004,17,11,135,57,78
8600000US00646,00646,ZCTA5 00646,34114,33454,0,2169,1539,315,277,38,31285,31158,0,127,660,243,417
8600000US00647,00647,ZCTA5 00647,5352,5311,0,431,351,30,50,0,4880,4860,0,20,41,17,24
8600000US00650,00650,ZCTA5 00650,12207,12169,0,881,689,83,92,17,11288,11268,0,20,38,32,6
8600000US00652,00652,ZCTA5 00652,2903,2866,0,324,280,29,15,0,2542,2534,0,8,37,30,7
8600000US00653,00653,ZCTA5 00653,16536,16395,0,1339,1131,100,91,17,15056,15024,11,21,141,78,63
8600000US00656,00656,ZCTA5 00656,23072,23021,0,1337,1024,173,85,55,21684,21663,4,17,51,33,18
8600000US00659,00659,ZCTA5 00659,38925,38600,0,3353,2781,440,96,36,35247,35187,0,60,325,162,163
