GISJOIN,YEAR,REGION,REGIONA,DIVISION,DIVISIONA,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,PLACE,PLACEA,TRACTA,BLOCKA,BLCK_GRPA,EDINDA,ENUMDISTA,SCSA,SCSAA,URB_AREA,URB_AREAA,CDA,AIANHH,AIANHHA,ZIPA,AREANAME,C7L001
"G010","1980",,"3",,"6","Alabama","01",,,,,,,,,,,,,,,,,,,,,,"ALABAMA",3893888
"G020","1980",,"4",,"9","Alaska","02",,,,,,,,,,,,,,,,,,,,,,"ALASKA",401851
"G040","1980",,"4",,"8","Arizona","04",,,,,,,,,,,,,,,,,,,,,,"ARIZONA",2718215
"G050","1980",,"3",,"7","Arkansas","05",,,,,,,,,,,,,,,,,,,,,,"ARKANSAS",2286435
"G060","1980",,"4",,"9","California","06",,,,,,,,,,,,,,,,,,,,,,"CALIFORNIA",23667902
"G080","1980",,"4",,"8","Colorado","08",,,,,,,,,,,,,,,,,,,,,,"COLORADO",2889964
"G090","1980",,"1",,"1","Connecticut","09",,,,,,,,,,,,,,,,,,,,,,"CONNECTICUT",3107576
"G100","1980",,"3",,"5","Delaware","10",,,,,,,,,,,,,,,,,,,,,,"DELAWARE",594338
"G110","1980",,"3",,"5","District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,"DISTRICT OF COLUMBIA",638333
"G120","1980",,"3",,"5","Florida","12",,,,,,,,,,,,,,,,,,,,,,"FLORIDA",9746324
"G130","1980",,"3",,"5","Georgia","13",,,,,,,,,,,,,,,,,,,,,,"GEORGIA",5463105
"G150","1980",,"4",,"9","Hawaii","15",,,,,,,,,,,,,,,,,,,,,,"HAWAII",964691
"G160","1980",,"4",,"8","Idaho","16",,,,,,,,,,,,,,,,,,,,,,"IDAHO",943935
"G170","1980",,"2",,"3","Illinois","17",,,,,,,,,,,,,,,,,,,,,,"ILLINOIS",11426518
"G180","1980",,"2",,"3","Indiana","18",,,,,,,,,,,,,,,,,,,,,,"INDIANA",5490224
"G190","1980",,"2",,"4","Iowa","19",,,,,,,,,,,,,,,,,,,,,,"IOWA",2913808
"G200","1980",,"2",,"4","Kansas","20",,,,,,,,,,,,,,,,,,,,,,"KANSAS",2363679
"G210","1980",,"3",,"6","Kentucky","21",,,,,,,,,,,,,,,,,,,,,,"KENTUCKY",3660777
"G220","1980",,"3",,"7","Louisiana","22",,,,,,,,,,,,,,,,,,,,,,"LOUISIANA",4205900
"G230","1980",,"1",,"1","Maine","23",,,,,,,,,,,,,,,,,,,,,,"MAINE",1124660
"G240","1980",,"3",,"5","Maryland","24",,,,,,,,,,,,,,,,,,,,,,"MARYLAND",4216975
"G250","1980",,"1",,"1","Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,"MASSACHUSETTS",5737037
"G260","1980",,"2",,"3","Michigan","26",,,,,,,,,,,,,,,,,,,,,,"MICHIGAN",9262078
"G270","1980",,"2",,"4","Minnesota","27",,,,,,,,,,,,,,,,,,,,,,"MINNESOTA",4075970
"G280","1980",,"3",,"6","Mississippi","28",,,,,,,,,,,,,,,,,,,,,,"MISSISSIPPI",2520638
"G290","1980",,"2",,"4","Missouri","29",,,,,,,,,,,,,,,,,,,,,,"MISSOURI",4916686
"G300","1980",,"4",,"8","Montana","30",,,,,,,,,,,,,,,,,,,,,,"MONTANA",786690
"G310","1980",,"2",,"4","Nebraska","31",,,,,,,,,,,,,,,,,,,,,,"NEBRASKA",1569825
"G320","1980",,"4",,"8","Nevada","32",,,,,,,,,,,,,,,,,,,,,,"NEVADA",800493
"G330","1980",,"1",,"1","New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,"NEW HAMPSHIRE",920610
"G340","1980",,"1",,"2","New Jersey","34",,,,,,,,,,,,,,,,,,,,,,"NEW JERSEY",7364823
"G350","1980",,"4",,"8","New Mexico","35",,,,,,,,,,,,,,,,,,,,,,"NEW MEXICO",1302894
"G360","1980",,"1",,"2","New York","36",,,,,,,,,,,,,,,,,,,,,,"NEW YORK",17558072
"G370","1980",,"3",,"5","North Carolina","37",,,,,,,,,,,,,,,,,,,,,,"NORTH CAROLINA",5881766
"G380","1980",,"2",,"4","North Dakota","38",,,,,,,,,,,,,,,,,,,,,,"NORTH DAKOTA",652717
"G390","1980",,"2",,"3","Ohio","39",,,,,,,,,,,,,,,,,,,,,,"OHIO",10797630
"G400","1980",,"3",,"7","Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,"OKLAHOMA",3025290
