GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
8600000US00601,00601,ZCTA5 00601,19143,66,61,3,0,1,0,0,1,19077,18154,227,31,1,0,378,286
8600000US00602,00602,ZCTA5 00602,42042,295,244,15,0,10,2,1,23,41747,37036,1493,67,25,7,1977,1142
8600000US00603,00603,ZCTA5 00603,55530,604,460,67,3,49,1,2,22,54926,45692,2747,115,66,13,4752,1541
8600000US00604,00604,ZCTA5 00604,3923,515,421,37,0,28,0,7,22,3408,2941,123,4,2,0,249,89
8600000US00606,00606,ZCTA5 00606,6449,56,52,1,1,1,0,0,1,6393,5772,193,9,0,0,204,215
8600000US00610,00610,ZCTA5 00610,27975,199,170,15,1,8,0,2,3,27776,23645,1184,87,24,3,1575,1258
8600000US00612,00612,ZCTA5 00612,72730,604,475,20,8,41,3,8,49,72126,63976,3115,213,61,13,2607,2141
8600000US00616,00616,ZCTA5 00616,10532,64,51,7,2,1,0,0,3,10468,9217,478,19,12,0,477,265
8600000US00617,00617,ZCTA5 00617,23370,141,112,7,4,3,0,0,15,23229,18927,1281,48,19,3,2361,590
8600000US00622,00622,ZCTA5 00622,8104,148,131,6,1,3,0,2,5,7956,7109,158,13,3,3,384,286
8600000US00623,00623,ZCTA5 00623,38807,298,242,10,7,12,0,15,12,38509,34090,1207,95,11,11,1807,1288
8600000US00624,00624,ZCTA5 00624,26719,175,152,8,5,4,0,2,4,26544,22092,1198,78,12,1,2521,642
8600000US00627,00627,ZCTA5 00627,35244,277,240,11,2,7,1,0,16,34967,32075,786,43,68,15,1294,686
8600000US00631,00631,ZCTA5 00631,2188,13,11,0,0,2,0,0,0,2175,2099,30,0,0,0,20,26
8600000US00637,00637,ZCTA5 00637,25935,148,118,2,3,8,2,1,14,25787,22865,761,79,4,1,1394,683
8600000US00638,00638,ZCTA5 00638,19634,114,93,1,1,12,3,0,4,19520,18028,606,32,6,2,536,310
8600000US00641,00641,ZCTA5 00641,35015,242,195,9,6,14,1,0,17,34773,32950,401,44,21,5,858,494
8600000US00646,00646,ZCTA5 00646,34099,610,519,31,6,19,6,7,22,33489,24763,4116,151,41,1,3213,1204
8600000US00647,00647,ZCTA5 00647,5362,40,30,2,0,1,0,1,6,5322,4729,132,5,9,0,244,203
8600000US00650,00650,ZCTA5 00650,12120,73,61,2,2,4,0,0,4,12047,11108,301,41,27,0,323,247
8600000US00652,00652,ZCTA5 00652,2987,47,38,0,3,0,0,0,6,2940,2594,57,32,0,0,198,59
8600000US00653,00653,ZCTA5 00653,16526,90,67,4,0,7,0,0,12,16436,13617,769,49,11,2,1156,832
8600000US00656,00656,ZCTA5 00656,23072,122,98,4,1,7,0,3,9,22950,18542,958,96,15,2,2478,859
8600000US00659,00659,ZCTA5 00659,38925,318,271,12,0,15,0,2,18,38607,34997,991,43,10,4,1565,997
8600000US00660,00660,ZCTA5 00660,16614,170,140,7,1,17,0,0,5,16444,14143,804,30,4,4,1063,396
8600000US00662,00662,ZCTA5 00662,42339,431,353,31,3,24,0,0,20,41908,36684,1940,75,25,1,1949,1234
8600000US00664,00664,ZCTA5 00664,17318,98,79,0,4,1,0,0,14,17220,15976,356,33,0,2,561,292
8600000US00667,00667,ZCTA5 00667,26673,216,170,22,0,13,0,4,7,26457,23008,748,60,10,0,1898,733
8600000US00669,00669,ZCTA5 00669,32227,174,156,3,1,8,1,1,4,32053,30671,328,46,15,1,563,429
8600000US00670,00670,ZCTA5 00670,11179,74,63,2,0,6,0,0,3,11105,10269,198,43,4,2,368,221
8600000US00674,00674,ZCTA5 00674,45809,243,190,30,0,15,1,2,5,45566,38878,2166,89,10,21,3473,929
8600000US00676,00676,ZCTA5 00676,39697,317,267,4,0,11,0,7,28,39380,35916,1062,70,22,1,1271,1038
