GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
1400000US01001020100,01001020100,"Census Tract 201, Autauga County, Alabama",717,77,43,40,81,63,39,29,45,25,66,103,49,19,8,30,0
1400000US01001020200,01001020200,"Census Tract 202, Autauga County, Alabama",629,118,56,61,48,29,36,53,36,16,49,63,31,14,0,14,5
1400000US01001020300,01001020300,"Census Tract 203, Autauga County, Alabama",1204,114,64,45,81,43,65,82,54,120,157,160,159,19,16,5,20
1400000US01001020400,01001020400,"Census Tract 204, Autauga County, Alabama",1750,113,68,77,126,127,123,95,109,136,192,251,183,103,36,5,6
1400000US01001020500,01001020500,"Census Tract 205, Autauga County, Alabama",2186,98,48,82,65,101,85,170,116,134,215,321,437,194,48,30,42
1400000US01001020600,01001020600,"Census Tract 206, Autauga County, Alabama",1199,148,73,112,56,114,122,47,46,38,118,136,84,58,10,25,12
1400000US01001020700,01001020700,"Census Tract 207, Autauga County, Alabama",1208,101,112,130,99,63,55,112,86,62,141,135,40,27,20,0,25
1400000US01001020800,01001020800,"Census Tract 208, Autauga County, Alabama",3302,223,186,123,230,126,245,216,292,143,361,432,472,164,34,25,30
1400000US01001020900,01001020900,"Census Tract 209, Autauga County, Alabama",1647,208,135,79,122,89,88,141,58,117,154,210,153,56,15,9,13
1400000US01001021000,01001021000,"Census Tract 210, Autauga County, Alabama",994,193,88,42,57,62,68,53,62,82,95,107,36,22,14,0,13
1400000US01001021100,01001021100,"Census Tract 211, Autauga County, Alabama",1136,242,72,138,109,59,88,81,47,31,66,131,45,3,4,1,19
1400000US01003010100,01003010100,"Census Tract 101, Baldwin County, Alabama",1616,243,149,115,99,132,111,154,121,98,98,134,91,38,10,0,23
1400000US01003010200,01003010200,"Census Tract 102, Baldwin County, Alabama",982,89,93,49,71,102,125,61,53,57,49,159,56,18,0,0,0
1400000US01003010300,01003010300,"Census Tract 103, Baldwin County, Alabama",2284,165,136,128,227,165,109,216,208,183,194,172,217,72,0,69,23
1400000US01003010400,01003010400,"Census Tract 104, Baldwin County, Alabama",1588,157,98,79,103,84,109,178,142,128,203,103,167,19,12,0,6
1400000US01003010500,01003010500,"Census Tract 105, Baldwin County, Alabama",1733,297,140,67,124,167,138,70,65,64,145,169,164,66,13,9,35
1400000US01003010600,01003010600,"Census Tract 106, Baldwin County, Alabama",1288,271,176,121,109,35,96,98,100,38,83,78,53,9,10,0,11
1400000US01003010701,01003010701,"Census Tract 107.01, Baldwin County, Alabama",2430,70,103,109,138,90,110,104,110,154,241,300,293,220,153,128,107
1400000US01003010703,01003010703,"Census Tract 107.03, Baldwin County, Alabama",1838,101,56,77,82,51,96,48,80,68,243,283,377,149,43,63,21
1400000US01003010704,01003010704,"Census Tract 107.04, Baldwin County, Alabama",1828,17,37,60,52,105,66,125,96,66,228,293,348,127,108,69,31
1400000US01003010705,01003010705,"Census Tract 107.05, Baldwin County, Alabama",2639,184,111,126,198,150,154,206,160,164,323,366,287,79,47,59,25
1400000US01003010800,01003010800,"Census Tract 108, Baldwin County, Alabama",2301,162,150,164,84,114,83,144,155,143,236,224,178,143,74,97,150
1400000US01003010901,01003010901,"Census Tract 109.01, Baldwin County, Alabama",3371,369,309,191,227,204,213,151,282,218,343,382,269,91,49,52,21
1400000US01003010902,01003010902,"Census Tract 109.02, Baldwin County, Alabama",3467,350,250,232,269,286,261,284,207,207,349,349,224,73,46,29,51
1400000US01003011000,01003011000,"Census Tract 110, Baldwin County, Alabama",1517,151,101,131,147,114,110,113,87,84,137,118,129,62,14,12,7
1400000US01003011100,01003011100,"Census Tract 111, Baldwin County, Alabama",2936,268,167,175,186,213,224,183,145,174,346,307,340,118,25,29,36
1400000US01003011201,01003011201,"Census Tract 112.01, Baldwin County, Alabama",1887,74,177,119,115,119,98,147,93,69,172,177,232,127,47,74,47
