GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,Male:
VD03,Male: - Never married
VD04,Male: - Now married:
VD05,"Male: - Now married: - Married, spouse present"
VD06,"Male: - Now married: - Married, spouse absent:"
VD07,"Male: - Now married: - Married, spouse absent: - Separated"
VD08,"Male: - Now married: - Married, spouse absent: - Other"
VD09,Male: - Widowed
VD10,Male: - Divorced
VD11,Female:
VD12,Female: - Never married
VD13,Female: - Now married:
VD14,"Female: - Now married: - Married, spouse present"
VD15,"Female: - Now married: - Married, spouse absent:"
VD16,"Female: - Now married: - Married, spouse absent: - Separated"
VD17,"Female: - Now married: - Married, spouse absent: - Other"
VD18,Female: - Widowed
VD19,Female: - Divorced
