GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19
8600000US00601,00601,ZCTA5 00601,14186,6805,2136,4069,3819,250,145,105,190,410,7381,1779,4161,3852,309,198,111,766,675
8600000US00602,00602,ZCTA5 00602,31789,15459,4827,9521,9048,473,303,170,411,700,16330,4010,9754,8932,822,514,308,1398,1168
8600000US00603,00603,ZCTA5 00603,43142,20949,6879,11532,10481,1051,497,554,567,1971,22193,4988,11729,10451,1278,745,533,2715,2761
8600000US00604,00604,ZCTA5 00604,3103,1421,587,747,723,24,17,7,20,67,1682,610,812,740,72,25,47,82,178
8600000US00606,00606,ZCTA5 00606,4785,2329,694,1419,1289,130,67,63,96,120,2456,553,1462,1251,211,148,63,218,223
8600000US00610,00610,ZCTA5 00610,21406,10292,3176,6021,5562,459,284,175,295,800,11114,2527,6252,5541,711,542,169,1138,1197
8600000US00612,00612,ZCTA5 00612,56966,26645,7998,15673,14282,1391,740,651,751,2223,30321,6726,16117,14381,1736,1037,699,3803,3675
8600000US00616,00616,ZCTA5 00616,8205,3836,1069,2320,2110,210,69,141,136,311,4369,1009,2375,2129,246,140,106,435,550
8600000US00617,00617,ZCTA5 00617,17416,8380,2391,4939,4541,398,276,122,260,790,9036,1945,4877,4262,615,415,200,1025,1189
8600000US00622,00622,ZCTA5 00622,6693,3336,934,2055,1922,133,84,49,96,251,3357,633,1942,1833,109,82,27,302,480
8600000US00623,00623,ZCTA5 00623,30156,14212,3788,8870,8107,763,426,337,394,1160,15944,3149,9026,7973,1053,683,370,1643,2126
8600000US00624,00624,ZCTA5 00624,19163,9371,3013,5617,5181,436,175,261,243,498,9792,2510,5625,5111,514,302,212,885,772
8600000US00627,00627,ZCTA5 00627,26549,12854,3668,8053,7467,586,281,305,302,831,13695,2752,8184,7496,688,355,333,1340,1419
8600000US00631,00631,ZCTA5 00631,1612,783,225,515,451,64,49,15,18,25,829,151,501,457,44,37,7,116,61
8600000US00637,00637,ZCTA5 00637,19780,9310,2663,5670,5164,506,292,214,329,648,10470,2172,5775,5263,512,341,171,1234,1289
8600000US00638,00638,ZCTA5 00638,14274,7073,2109,4222,3832,390,213,177,234,508,7201,1641,4101,3711,390,263,127,732,727
8600000US00641,00641,ZCTA5 00641,26221,12664,4017,7362,6715,647,404,243,400,885,13557,3315,7445,6758,687,455,232,1453,1344
8600000US00646,00646,ZCTA5 00646,25930,12259,3635,7464,6778,686,340,346,314,846,13671,3012,7991,6983,1008,660,348,1152,1516
8600000US00647,00647,ZCTA5 00647,4243,2093,670,1217,1080,137,74,63,82,124,2150,482,1252,1044,208,136,72,252,164
8600000US00650,00650,ZCTA5 00650,9035,4307,1193,2710,2556,154,79,75,137,267,4728,971,2807,2574,233,154,79,462,488
8600000US00652,00652,ZCTA5 00652,2306,1199,385,700,662,38,9,29,37,77,1107,230,671,622,49,13,36,116,90
8600000US00653,00653,ZCTA5 00653,12222,5789,1665,3471,3145,326,126,200,184,469,6433,1440,3692,3220,472,307,165,667,634
8600000US00656,00656,ZCTA5 00656,17385,8362,2824,4893,4441,452,219,233,241,404,9023,2344,4943,4378,565,366,199,939,797
8600000US00659,00659,ZCTA5 00659,29429,13961,3828,8777,8180,597,302,295,209,1147,15468,3106,9077,8279,798,498,300,1594,1691
8600000US00660,00660,ZCTA5 00660,13414,6057,1565,3901,3696,205,125,80,126,465,7357,1574,4027,3650,377,202,175,774,982
8600000US00662,00662,ZCTA5 00662,32513,15519,4558,9358,8708,650,331,319,464,1139,16994,3480,9695,8861,834,498,336,1993,1826
8600000US00664,00664,ZCTA5 00664,12432,6267,2135,3485,3210,275,86,189,210,437,6165,1422,3602,3242,360,222,138,560,581
