GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19
8600000US00601,00601,ZCTA5 00601,5895,917,401,516,4978,4922,3659,2053,1606,1263,225,92,133,1038,511,527,56,30,26
8600000US00602,00602,ZCTA5 00602,13520,2107,1055,1052,11413,11301,8685,4856,3829,2616,461,172,289,2155,1049,1106,112,59,53
8600000US00603,00603,ZCTA5 00603,19152,3998,1899,2099,15154,14869,10146,4719,5427,4723,769,205,564,3954,1957,1997,285,131,154
8600000US00604,00604,ZCTA5 00604,1121,186,85,101,935,894,679,400,279,215,40,23,17,175,99,76,41,21,20
8600000US00606,00606,ZCTA5 00606,2013,350,193,157,1663,1642,1182,657,525,460,94,38,56,366,175,191,21,13,8
8600000US00610,00610,ZCTA5 00610,9262,1651,760,891,7611,7477,5332,2622,2710,2145,365,114,251,1780,832,948,134,66,68
8600000US00612,00612,ZCTA5 00612,25399,5042,2189,2853,20357,19893,13502,6018,7484,6391,989,289,700,5402,2351,3051,464,210,254
8600000US00616,00616,ZCTA5 00616,3557,648,315,333,2909,2867,2028,914,1114,839,131,38,93,708,311,397,42,14,28
8600000US00617,00617,ZCTA5 00617,7830,1354,680,674,6476,6356,4336,2142,2194,2020,329,97,232,1691,817,874,120,53,67
8600000US00622,00622,ZCTA5 00622,3086,735,365,370,2351,2288,1753,664,1089,535,108,34,74,427,199,228,63,35,28
8600000US00623,00623,ZCTA5 00623,14028,2948,1350,1598,11080,10763,7775,3465,4310,2988,539,168,371,2449,1108,1341,317,146,171
8600000US00624,00624,ZCTA5 00624,7698,1060,579,481,6638,6560,4700,2784,1916,1860,360,141,219,1500,746,754,78,38,40
8600000US00627,00627,ZCTA5 00627,11457,1733,763,970,9724,9592,7169,3763,3406,2423,427,164,263,1996,959,1037,132,69,63
8600000US00631,00631,ZCTA5 00631,713,152,66,86,561,553,437,211,226,116,31,12,19,85,34,51,8,3,5
8600000US00637,00637,ZCTA5 00637,8865,1728,781,947,7137,7006,4924,2322,2602,2082,337,102,235,1745,841,904,131,68,63
8600000US00638,00638,ZCTA5 00638,5998,967,513,454,5031,4965,3661,2082,1579,1304,269,108,161,1035,535,500,66,40,26
8600000US00641,00641,ZCTA5 00641,11096,1885,934,951,9211,9065,6457,3350,3107,2608,440,140,300,2168,1004,1164,146,76,70
8600000US00646,00646,ZCTA5 00646,10910,1617,803,814,9293,9098,6400,3148,3252,2698,462,175,287,2236,1060,1176,195,97,98
8600000US00647,00647,ZCTA5 00647,1879,427,228,199,1452,1422,1008,393,615,414,86,24,62,328,126,202,30,10,20
8600000US00650,00650,ZCTA5 00650,3895,559,267,292,3336,3285,2339,1147,1192,946,150,53,97,796,408,388,51,23,28
8600000US00652,00652,ZCTA5 00652,1029,189,95,94,840,826,623,312,311,203,48,9,39,155,77,78,14,8,6
8600000US00653,00653,ZCTA5 00653,5412,1004,492,512,4408,4318,2870,1400,1470,1448,243,87,156,1205,604,601,90,43,47
8600000US00656,00656,ZCTA5 00656,7209,1099,562,537,6110,6025,4134,2066,2068,1891,326,116,210,1565,768,797,85,48,37
8600000US00659,00659,ZCTA5 00659,12685,1897,841,1056,10788,10662,7865,3986,3879,2797,461,136,325,2336,1168,1168,126,70,56
8600000US00660,00660,ZCTA5 00660,5820,1036,392,644,4784,4679,3387,1442,1945,1292,206,56,150,1086,424,662,105,39,66
8600000US00662,00662,ZCTA5 00662,14306,2520,1156,1364,11786,11597,8278,4059,4219,3319,608,200,408,2711,1213,1498,189,108,81
8600000US00664,00664,ZCTA5 00664,5083,795,388,407,4288,4240,3091,1843,1248,1149,240,97,143,909,503,406,48,32,16
8600000US00667,00667,ZCTA5 00667,9141,1671,778,893,7470,7297,5133,2257,2876,2164,423,143,280,1741,766,975,173,89,84
