GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,Male:
VD03,Male: - Under 1 year
VD04,Male: - 1 year
VD05,Male: - 2 years
VD06,Male: - 3 years
VD07,Male: - 4 years
VD08,Male: - 5 years
VD09,Male: - 6 years
VD10,Male: - 7 years
VD11,Male: - 8 years
VD12,Male: - 9 years
VD13,Male: - 10 years
VD14,Male: - 11 years
VD15,Male: - 12 years
VD16,Male: - 13 years
VD17,Male: - 14 years
VD18,Male: - 15 years
VD19,Male: - 16 years
VD20,Male: - 17 years
VD21,Male: - 18 years
VD22,Male: - 19 years
VD23,Male: - 20 years
VD24,Male: - 21 years
VD25,Male: - 22 to 24 years
VD26,Male: - 25 to 29 years
VD27,Male: - 30 to 34 years
VD28,Male: - 35 to 39 years
VD29,Male: - 40 to 44 years
VD30,Male: - 45 to 49 years
VD31,Male: - 50 to 54 years
VD32,Male: - 55 to 59 years
VD33,Male: - 60 and 61 years
VD34,Male: - 62 to 64 years
VD35,Male: - 65 and 66 years
VD36,Male: - 67 to 69 years
VD37,Male: - 70 to 74 years
VD38,Male: - 75 to 79 years
VD39,Male: - 80 to 84 years
VD40,Male: - 85 years and over
VD41,Female:
VD42,Female: - Under 1 year
VD43,Female: - 1 year
VD44,Female: - 2 years
VD45,Female: - 3 years
VD46,Female: - 4 years
VD47,Female: - 5 years
VD48,Female: - 6 years
VD49,Female: - 7 years
VD50,Female: - 8 years
VD51,Female: - 9 years
VD52,Female: - 10 years
VD53,Female: - 11 years
VD54,Female: - 12 years
VD55,Female: - 13 years
VD56,Female: - 14 years
VD57,Female: - 15 years
VD58,Female: - 16 years
VD59,Female: - 17 years
VD60,Female: - 18 years
VD61,Female: - 19 years
VD62,Female: - 20 years
VD63,Female: - 21 years
VD64,Female: - 22 to 24 years
VD65,Female: - 25 to 29 years
VD66,Female: - 30 to 34 years
VD67,Female: - 35 to 39 years
VD68,Female: - 40 to 44 years
VD69,Female: - 45 to 49 years
VD70,Female: - 50 to 54 years
VD71,Female: - 55 to 59 years
VD72,Female: - 60 and 61 years
VD73,Female: - 62 to 64 years
VD74,Female: - 65 and 66 years
VD75,Female: - 67 to 69 years
VD76,Female: - 70 to 74 years
VD77,Female: - 75 to 79 years
VD78,Female: - 80 to 84 years
VD79,Female: - 85 years and over
