GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
1400000US01001020100,01001020100,"Census Tract 201, Autauga County, Alabama",1921,1909,1723,141,15,7,0,2,21,12,10,0,0,0,0,2,0
1400000US01001020200,01001020200,"Census Tract 202, Autauga County, Alabama",1892,1876,671,1163,6,7,0,4,25,16,12,2,0,0,0,2,0
1400000US01001020300,01001020300,"Census Tract 203, Autauga County, Alabama",3339,3284,2738,491,7,16,7,2,23,55,22,1,0,0,0,24,8
1400000US01001020400,01001020400,"Census Tract 204, Autauga County, Alabama",4556,4455,4273,117,10,32,0,1,22,101,57,6,6,3,0,29,0
1400000US01001020500,01001020500,"Census Tract 205, Autauga County, Alabama",6040,5945,5418,354,25,72,0,11,65,95,71,4,0,0,0,15,5
1400000US01001020600,01001020600,"Census Tract 206, Autauga County, Alabama",3378,3312,2700,558,12,6,1,2,33,66,42,7,0,0,0,14,3
1400000US01001020700,01001020700,"Census Tract 207, Autauga County, Alabama",2900,2849,2518,281,23,11,2,0,14,51,35,3,0,1,1,11,0
1400000US01001020800,01001020800,"Census Tract 208, Autauga County, Alabama",9357,9263,7882,1218,45,30,0,5,83,94,56,5,1,2,0,19,11
1400000US01001020900,01001020900,"Census Tract 209, Autauga County, Alabama",4629,4548,3821,633,18,11,0,13,52,81,74,3,0,0,0,3,1
1400000US01001021000,01001021000,"Census Tract 210, Autauga County, Alabama",2677,2656,1900,718,19,1,2,0,16,21,14,2,1,0,0,2,2
1400000US01001021100,01001021100,"Census Tract 211, Autauga County, Alabama",2982,2964,1179,1754,6,1,0,4,20,18,5,12,0,0,0,0,1
1400000US01003010100,01003010100,"Census Tract 101, Baldwin County, Alabama",4161,4120,2996,1032,53,1,2,0,36,41,30,5,5,0,0,0,1
1400000US01003010200,01003010200,"Census Tract 102, Baldwin County, Alabama",2634,2604,2305,218,41,10,0,0,30,30,18,4,0,0,0,5,3
1400000US01003010300,01003010300,"Census Tract 103, Baldwin County, Alabama",6511,6443,5042,1326,30,9,0,6,30,68,38,18,0,0,0,6,6
1400000US01003010400,01003010400,"Census Tract 104, Baldwin County, Alabama",4442,4394,4056,248,24,9,0,2,55,48,24,2,0,0,0,22,0
1400000US01003010500,01003010500,"Census Tract 105, Baldwin County, Alabama",4566,4514,3997,430,32,26,2,3,24,52,29,0,3,1,0,17,2
1400000US01003010600,01003010600,"Census Tract 106, Baldwin County, Alabama",3724,3685,1702,1913,20,8,1,2,39,39,11,13,0,1,0,10,4
1400000US01003010701,01003010701,"Census Tract 107.01, Baldwin County, Alabama",6510,6451,6079,255,26,43,3,7,38,59,45,0,0,0,0,9,5
1400000US01003010703,01003010703,"Census Tract 107.03, Baldwin County, Alabama",5305,5214,4565,557,14,29,3,4,42,91,62,7,2,0,0,16,4
1400000US01003010704,01003010704,"Census Tract 107.04, Baldwin County, Alabama",4832,4768,4508,177,12,19,1,6,45,64,57,1,0,0,0,4,2
1400000US01003010705,01003010705,"Census Tract 107.05, Baldwin County, Alabama",6003,5870,5077,640,22,51,0,8,72,133,77,3,9,1,0,27,16
1400000US01003010800,01003010800,"Census Tract 108, Baldwin County, Alabama",6254,6201,4417,1703,10,29,0,6,36,53,24,7,0,0,0,22,0
1400000US01003010901,01003010901,"Census Tract 109.01, Baldwin County, Alabama",9646,9429,8277,947,90,17,2,11,85,217,96,0,7,0,0,110,4
1400000US01003010902,01003010902,"Census Tract 109.02, Baldwin County, Alabama",9208,9042,8494,374,51,25,0,6,92,166,106,1,2,2,0,44,11
1400000US01003011000,01003011000,"Census Tract 110, Baldwin County, Alabama",4095,3988,3630,266,38,8,3,0,43,107,58,4,17,0,0,23,5
1400000US01003011100,01003011100,"Census Tract 111, Baldwin County, Alabama",7524,7400,6878,390,26,32,2,3,69,124,75,6,3,0,1,20,19
1400000US01003011201,01003011201,"Census Tract 112.01, Baldwin County, Alabama",4186,4145,3985,93,9,31,0,2,25,41,31,0,1,0,0,7,2
1400000US01003011202,01003011202,"Census Tract 112.02, Baldwin County, Alabama",5405,5361,4065,1212,5,30,0,0,49,44,23,5,1,0,0,6,9
1400000US01003011300,01003011300,"Census Tract 113, Baldwin County, Alabama",3665,3628,3442,139,13,7,0,0,27,37,22,0,0,0,0,4,11
1400000US01003011401,01003011401,"Census Tract 114.01, Baldwin County, Alabama",6911,6663,5847,655,31,24,6,11,89,248,169,3,1,0,0,61,14
1400000US01003011403,01003011403,"Census Tract 114.03, Baldwin County, Alabama",4260,4197,4087,38,24,10,0,3,35,63,53,0,1,0,0,2,7
1400000US01003011404,01003011404,"Census Tract 114.04, Baldwin County, Alabama",9947,9768,9501,23,54,25,2,8,155,179,80,1,1,1,0,91,5
1400000US01003011500,01003011500,"Census Tract 115, Baldwin County, Alabama",10153,9746,7991,1552,61,59,5,9,69,407,269,7,3,0,0,102,26
1400000US01003011600,01003011600,"Census Tract 116, Baldwin County, Alabama",10473,10318,9927,169,67,29,5,7,114,155,101,0,0,0,0,43,11
1400000US01005950100,01005950100,"Census Tract 9501, Barbour County, Alabama",3840,3741,1958,1739,7,24,0,2,11,99,25,6,0,0,0,65,3
1400000US01005950200,01005950200,"Census Tract 9502, Barbour County, Alabama",4342,4276,1414,2821,16,2,0,0,23,66,4,26,1,0,0,35,0
1400000US01005950300,01005950300,"Census Tract 9503, Barbour County, Alabama",2152,2097,876,1204,5,0,0,0,12,55,15,4,0,0,0,36,0
1400000US01005950400,01005950400,"Census Tract 9504, Barbour County, Alabama",4068,3942,2071,1786,32,8,1,0,44,126,16,25,2,1,2,68,12
