GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
0500000US01001,01001,"Autauga County, Alabama",19808,19436,377,1788,2366,1902,3075,1707,4145,764,560,1648,740,364,372
0500000US01003,01003,"Baldwin County, Alabama",62219,60038,2436,6950,8357,8823,8518,3357,8284,1804,2197,5319,2437,1556,2181
0500000US01005,01005,"Barbour County, Alabama",10023,9809,543,1401,1922,1590,1242,314,1311,171,145,552,383,235,214
0500000US01007,01007,"Bibb County, Alabama",7875,7754,352,794,766,762,657,262,1212,453,336,1237,667,256,121
0500000US01009,01009,"Blount County, Alabama",22255,21692,736,2048,1856,2255,1892,663,2685,877,1140,4237,2341,962,563
0500000US01011,01011,"Bullock County, Alabama",3382,3277,143,665,578,299,232,73,329,97,117,450,187,107,105
0500000US01013,01013,"Butler County, Alabama",7881,7647,261,1215,1304,1347,832,177,690,85,197,707,559,273,234
0500000US01015,01015,"Calhoun County, Alabama",47181,46390,1647,5123,7811,8819,7669,2753,6001,850,784,2110,1407,1416,791
0500000US01017,01017,"Chambers County, Alabama",15480,15289,536,1980,3167,2602,1912,1007,2038,181,312,782,415,357,191
0500000US01019,01019,"Cherokee County, Alabama",10014,9788,320,924,1254,964,1267,565,1680,421,438,1112,417,426,226
0500000US01021,01021,"Chilton County, Alabama",17151,16759,480,1248,2022,1964,1630,681,2195,559,736,2680,1949,615,392
0500000US01023,01023,"Choctaw County, Alabama",5382,5252,222,627,497,518,525,234,609,157,182,706,530,445,130
0500000US01025,01025,"Clarke County, Alabama",10226,10088,586,1570,1497,1366,952,405,1468,215,318,740,565,406,138
0500000US01027,01027,"Clay County, Alabama",5828,5720,353,733,809,952,693,295,591,111,176,405,327,275,108
0500000US01029,01029,"Cleburne County, Alabama",6060,5990,295,615,638,731,720,384,1004,227,174,504,367,331,70
0500000US01031,01031,"Coffee County, Alabama",18974,18609,724,2728,3547,3452,2873,904,2026,343,392,777,440,403,365
0500000US01033,01033,"Colbert County, Alabama",22593,22350,996,2691,4101,3660,3591,1177,2465,381,517,1307,767,697,243
0500000US01035,01035,"Conecuh County, Alabama",4771,4614,204,512,620,590,670,221,876,101,139,346,170,165,157
0500000US01037,01037,"Coosa County, Alabama",4750,4684,110,262,685,844,937,230,726,79,95,242,275,199,66
0500000US01039,01039,"Covington County, Alabama",15116,14673,846,2797,2537,2566,1607,561,1624,167,218,638,471,641,443
0500000US01041,01041,"Crenshaw County, Alabama",5400,5233,396,524,527,487,465,238,753,139,235,706,557,206,167
0500000US01043,01043,"Cullman County, Alabama",34619,33448,1295,3341,4800,5337,4496,1811,4016,580,821,2878,2923,1150,1171
0500000US01045,01045,"Dale County, Alabama",21313,20902,882,3173,3877,3802,3060,1207,2355,373,387,1073,333,380,411
0500000US01047,01047,"Dallas County, Alabama",15003,14827,510,2031,3034,3106,2033,596,1429,123,132,762,560,511,176
0500000US01049,01049,"DeKalb County, Alabama",28637,27796,1337,3134,4045,4596,4541,1590,3687,654,651,1878,1002,681,841
0500000US01051,01051,"Elmore County, Alabama",28143,27515,566,1845,2483,3550,4241,2172,5176,1399,1508,2987,820,768,628
0500000US01053,01053,"Escambia County, Alabama",14316,14157,763,2439,2791,2121,1336,444,1734,183,171,768,705,702,159
0500000US01055,01055,"Etowah County, Alabama",42636,41834,1279,4490,6959,9298,6921,2161,4030,582,694,2050,1949,1421,802
0500000US01057,01057,"Fayette County, Alabama",7294,7196,293,1060,1083,1088,897,308,672,104,204,638,471,378,98
0500000US01059,01059,"Franklin County, Alabama",12839,12521,566,1779,2213,2001,1375,667,1345,362,357,889,627,340,318
