,cz,czname,state_id,n_ige_rank_8082,e_rank_b,s_rank,prob_p1_k5,e_rank_b_c1821,s_c1821,e_rank_b_teenbirth_fem,s_teenbirth_fem,e_rank_b_femfam,s_femfam,e_rank_b_malefam,s_malefam,e_rank_b_indv_r_m,s_indv_r_m,e_rank_b_coli4,s_coli4,e_rank_b_1112,s_1112,e_rank_b_singlepar,s_singlepar,e_rank_b_marriedpar,s_marriedpar,e_rank_b_8385,s_8385,e_rank_b_8085,s_8085,e_rank_b_w80,s_w80,e_rank_b_povertyline,s_povertyline,e_rank_b_cq,s_cq,n250,pop2000,intersects_msa,cs_race_bla,cs_race_theil_2000,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,frac_traveltime_lt15,hhinc00,gini,inc_share_1perc,gini99,frac_middleclass,taxrate,subcty_total_expenditure_pc,tax_st_diff_top20,eitc_exposure,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,num_inst_pc,tuition,gradrate_r,cs_labforce,cs_elf_ind_man,d_tradeusch_pw_1990,frac_worked1416,mig_inflow,mig_outflow,cs_born_foreign,scap_ski90pcm,rel_tot,crime_violent,cs_fam_wkidsinglemom,cs_divorced,cs_married,incgrowth0010,cons
0,100,Johnson City,TN,18494.0,38.3875,0.3717,0.0620937,33.66625,0.87497,23.1315,-0.31138,39.97675,0.38227,36.83775,0.36175,40.401,0.34168,39.95,0.35808,38.91025,0.33133,36.68425,0.35865,39.35525,0.35337,40.02,0.34876,39.21575,0.35919,38.368,0.37188,66.56876,0.40215,35.08313,0.20681999999999998,1.0,576081,1,0.0208408,0.0903837,0.0348657,0.0301532,0.0382395,0.3252578,31559.77,0.46804,13.459,0.33345,0.54796,0.0203924,1886.148,0.0,0.0,5.1845472,,2.728379,-0.0152656,0.0138869,4816.82,-0.0024312,0.5873474,0.2373972,5.293786,0.0037529,0.0056398319,0.0046972561,0.0117837,-0.2978583,0.5144033,0.0014095,0.1898032,0.1101729,0.6008929,-0.0022776,1.0
1,200,Morristown,TN,7760.0,37.77675,0.35611,0.0536519,32.68875,0.77467,27.156,-0.33872,38.7855,0.37426,36.81325,0.33785,40.4385,0.31502,39.361,0.3498,37.97425,0.33409,36.5295,0.3525,38.56425,0.33909,39.36175,0.37071,38.60225,0.36217,37.77675,0.35611,65.30325,0.43897,34.7445,0.16901,1.0,227816,1,0.0197791,0.093153,0.0262809,0.0278582,0.0253348,0.2764278,29958.93,0.43459,10.631,0.32828,0.5375,0.0234471,2004.337,0.0,0.0,4.5058856,,-3.400274,-0.0235207,0.008779,4762.23,-0.1011827,0.6249742,0.2377556,3.030479,0.0047773,0.016206061,0.0142351722,0.0230553,-0.76735477,0.5438951,0.0018436,0.185106,0.1159584,0.6133591,-0.0021528,1.0
2,301,Middlesborough,TN,2217.0,39.04925,0.37557,0.0730748,40.9725,0.67994,23.18125,-0.26063,41.348,0.36896,36.79175,0.38091,40.5835,0.34866,41.008,0.3552,37.82975,0.34943,35.52075,0.31827,40.24225,0.35485,39.953,0.35244,39.516,0.3624,39.0695,0.3749,65.01175,0.48347,36.09037,0.158215,1.0,66708,0,0.0146459,0.0642501,0.0240811,0.0146831,0.0258143,0.3585358,22328.48,0.44095,10.691,0.33404,0.46685,0.0153799,1189.82,0.0,0.0,5.614119,15.084937,-9.315062,-0.0046291,0.0449721,11840.4,0.1112985,0.4789631,0.2335314,2.062596,0.0028932,0.008050009,0.0116028063,0.007078,-1.2702513,0.667806,0.0008545,0.2110027,0.1134514,0.5902804,-0.0037121,1.0
3,302,Knoxville,TN,23805.0,37.84125,0.37253,0.056292,32.35125,0.85705,24.969,-0.32944,39.60825,0.37445,36.1375,0.3705,39.724,0.3434,39.2465,0.36466,38.5975,0.34286,35.8915,0.34782,39.227,0.3496,39.50275,0.33015,38.691,0.35036,38.7205,0.35782,65.60225,0.39677,34.77657,0.20817,1.0,727600,1,0.0563648,0.2099943,0.0921036,0.0842674,0.1019656,0.2685696,35884.29,0.50832,15.08,0.35752,0.5041,0.0188704,2356.851,0.0,0.0,4.8998462,,-6.031831,-0.0110711,0.0109951,3480.44,-0.0238261,0.6148306,0.1455054,1.078308,0.0042875,0.0163029137,0.0135541506,0.0199675,-0.22188462,0.601953,0.0013441,0.2056023,0.1142778,0.57515,-0.0019974,1.0
4,401,Winston-Salem,NC,16103.0,36.96925,0.38913,0.0446207,42.95475,0.73715,26.32775,-0.35645,38.80675,0.39667,35.0955,0.38314,38.7825,0.35758,37.583,0.38244,38.99625,0.35405,34.595,0.38944,40.28375,0.32775,38.227,0.35884,37.6315,0.37298,39.6645,0.3567,66.11926,0.38789,38.09144,0.201735,1.0,493180,1,0.173531,0.262388,0.0718667,0.0610806,0.0806255,0.2918141,38891.75,0.46553,11.917,0.34636,0.49991,0.0179048,1891.45,1.0,0.0,5.4626763,15.385281,-2.297035,0.0229661,0.0141936,9715.33,0.0515534,0.656087,0.2151985,1.016085,0.0037629,0.022101464,0.0186199765,0.0529482,-0.01779596,0.4879375,0.0026579,0.2204709,0.0923505,0.5858972,-0.0140494,1.0
5,402,Martinsville,VA,3269.0,37.29525,0.42257,0.05192,36.61375,0.85803,26.48475,-0.38949,38.6325,0.42362,35.99575,0.42083,39.87325,0.40349,37.8435,0.40274,38.53175,0.36819,34.48275,0.34155,39.61525,0.38001,38.65025,0.39901,37.99325,0.40961,39.25475,0.42915,67.417,0.43804,36.76275,0.24467,1.0,92753,0,0.2238095,0.1365256,0.0237311,0.0153754,0.0282695,0.3130243,31264.81,0.44448,10.68,0.33768,0.53839,0.0151883,1557.879,0.0,0.0,5.7398601,,4.227381,,0.0107813,1113.0,-0.1155025,0.599393,0.3945067,3.276671,0.0032874,0.0068137958,0.0100697552,0.0249921,-0.90281513,0.4544327,0.0018975,0.2408851,0.09564,0.5795217,-0.0113832,1.0
6,500,Greensboro,NC,33788.0,36.47725,0.39521,0.0474525,39.6805,0.76698,25.92525,-0.32971,38.3885,0.39826,34.5605,0.39246,38.6905,0.3689,37.01575,0.39023,38.1025,0.36494,34.2145,0.35002,39.459,0.3432,38.08325,0.35921,37.3145,0.3761,38.79325,0.36401,66.08675,0.39755,37.17088,0.20727,1.0,1055133,1,0.2175593,0.220065,0.0676532,0.0575889,0.076798,0.3049326,36581.84,0.52358,18.228,0.3413,0.51009,0.0172547,1932.456,1.0,0.0,5.0077963,16.678007,-3.715993,0.0155281,0.0142162,4528.49,-0.0174335,0.6659446,0.2613469,2.0505,0.0035349,0.0165078715,0.0153705741,0.0502233,-0.51318038,0.433969,0.0034609,0.2366055,0.0955472,0.5601948,-0.0135504,1.0
7,601,North Wilkesboro,NC,2958.0,38.3445,0.38886,0.0515173,38.33375,0.80467,24.8685,-0.29242,40.7165,0.39134,36.14325,0.38497,37.94375,0.34671,39.519,0.37344,39.3635,0.36086,37.053,0.3942,39.15525,0.37105,40.71425,0.34649,39.54375,0.36631,38.34725,0.38885,66.88325,0.43925,36.55656,0.206405,1.0,90016,0,0.0319277,0.1140964,0.0118961,0.008602,0.0124235,0.2893356,31544.06,0.44603,12.645,0.31958,0.56018,0.0135954,1661.026,1.0,0.0,5.2960907,16.17797,6.698189,0.0210332,0.0111091,880.0,-0.123175,0.617435,0.2753794,2.572853,0.0033694,0.0119756488,0.0118867757,0.0274269,-0.19309309,0.5613891,0.0026572,0.1652012,0.0873082,0.6322625,-0.0108258,1.0
8,602,Galax,VA,1877.0,40.813,0.41348,0.080819,35.259,0.82528,21.29325,-0.25051,42.6245,0.38642,39.059,0.4394,40.94575,0.42399,41.7125,0.40074,41.53475,0.35691,39.784,0.51808,41.93675,0.37643,43.28075,0.35955,42.062,0.3842,40.74325,0.41281,69.54125,0.47333,37.287,0.22915500000000003,1.0,64676,0,0.0289597,0.1311975,0.0054097,0.0041657,0.0056613,0.325102,30683.01,0.35621,8.705999,0.26915,0.60842,0.0140347,1208.094,0.0,0.0,5.3766793,12.326298,4.899554,,,,,0.5936862,0.3210837,4.302583,0.0039142,0.0055352836,0.0057981322,0.0228524,-0.80119036,0.430175,0.0013297,0.1668024,0.0894558,0.6222348,-0.0096735,1.0
9,700,Spartanburg,SC,12280.0,36.406,0.4044,0.0432753,36.047,0.78672,29.94025,-0.37035,37.71875,0.42027,35.11975,0.38415,39.81825,0.35289,37.28925,0.39985,38.33875,0.35519,33.94025,0.36729,39.5075,0.34682,38.7345,0.36638,37.58575,0.38439,38.2495,0.3801,67.727,0.3898,36.10825,0.19911500000000001,1.0,354533,1,0.2074983,0.1394965,0.0451206,0.0441604,0.0451741,0.2989705,33416.75,0.4713,13.061,0.34069,0.5285,0.0181788,2498.805,0.0,0.0,5.4214951,15.939934,-1.008695,,0.0197443,7264.36,0.0066847,0.6295308,0.294631,0.9458863,0.0039405,0.0170280341,0.0155584953,0.0290639,-1.0008878,0.5960855,0.0032783,0.246103,0.0986878,0.5613106,-0.0138567,1.0
