Covariate,Paper beta,Your beta,Beta diff
Fraction Black Residents,0.631,0.631,-0.000
Racial Segregation,0.406,0.406,-0.000
Income Segregation,0.183,0.183,0.000
Segregation of Poverty (<p25),0.218,0.218,-0.000
Segregation of Affluence (>p75),0.146,0.146,-0.000
Share with Commute < 15 Mins,-0.447,-0.447,-0.000
Household Income per Capita,-0.145,-0.145,-0.000
Gini Coefficient,0.346,0.346,-0.000
Top 1% Income Share,0.019,0.019,-0.000
Gini Bottom 99%,0.473,0.473,-0.000
Fraction Middle Class,-0.451,-0.451,-0.000
School Expenditure per Student,-0.279,-0.279,0.000
Teacher-Student Ratio,0.009,0.009,0.000
Test Score Percentile (Inc. Adj.),-0.317,-0.317,0.000
HS Dropout Rate (Inc. Adj.),0.328,0.328,-0.000
Social Capital Index,-0.327,-0.327,-0.000
Fraction Religious,-0.101,-0.101,0.000
Violent Crime Rate,0.217,0.217,0.000
Fraction Single Mothers,0.641,0.641,-0.000
Fraction Divorced,0.158,0.158,0.000
Fraction Married,-0.370,-0.370,0.000
Local Tax Rate,-0.328,-0.328,-0.000
Local Gov Expenditures,-0.301,-0.301,-0.000
State EITC Exposure,-0.144,-0.144,0.000
State Income Tax Progressivity,-0.150,-0.150,-0.000
Colleges per Capita,-0.125,-0.125,-0.000
Mean College Tuition,0.109,0.109,0.000
College Grad Rate (Inc. Adj.),-0.025,-0.025,0.000
Labor Force Participation,-0.237,-0.237,0.000
Manufacturing Employment Share,0.393,0.393,-0.000
Growth in Chinese Imports,0.171,0.171,-0.000
Teen Labor Force Participation,-0.516,-0.516,0.000
Migration Inflow Rate,-0.084,-0.084,-0.000
Migration Outflow Rate,-0.150,-0.150,0.000
Fraction Foreign Born,-0.247,-0.247,-0.000
