"rm_subgroup","category","covariate","n_obs","beta","se","t_stat","p_classical","p_cor_test","p_waldtest_hc0","p_waldtest_hc3","p_perk","p_perm_reg","classical_sig","cor_test_sig","hc0_sig","hc3_sig","perk_sig","perm_reg_sig","all_agree","covariate_clean"
"RM, 80-82 Cohort (Baseline)","Race","Frac..Black",709,0.630755326630248,0.0291837983265233,21.6132019407835,6.32877969942163e-80,6.32877969942253e-80,5.40640067544755e-99,2.6644468613671e-97,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Black Residents"
"RM, 80-82 Cohort (Baseline)","Segregation","Racial.Segregation",709,0.40599863109948,0.0343697572634701,11.8126708893285,1.62939190641845e-29,1.62939190641866e-29,1.67760674182154e-30,4.16553620421941e-30,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Racial Segregation"
"RM, 80-82 Cohort (Baseline)","Segregation","Income.Segregation",709,0.183124746904828,0.036972892839343,4.9529461408539,9.1523603189015e-07,9.15236031890145e-07,3.61194158736948e-07,4.12471414630294e-07,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Income Segregation"
"RM, 80-82 Cohort (Baseline)","Segregation","Segregation.of.Poverty...p25.",709,0.217704763206152,0.0367068095474567,5.93090943860676,4.71304547253653e-09,4.71304547253653e-09,1.28292010843934e-09,1.52645417019203e-09,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Segregation of Poverty (<p25)"
"RM, 80-82 Cohort (Baseline)","Segregation","Segregation.of.Affluence...p75.",709,0.145664912482166,0.0372077339314854,3.91490953871026,9.91904049842484e-05,9.91904049842482e-05,5.41709052048878e-05,5.92163034907892e-05,0,0.0004999500049995,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Segregation of Affluence (>p75)"
"RM, 80-82 Cohort (Baseline)","Segregation","Frac..with.Commute...15.Mins",709,-0.447088176755883,0.0336407546120775,-13.2900757403157,3.87345511039689e-36,3.87345511039623e-36,2.05254349815051e-26,4.84847112686665e-26,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Share with Commute < 15 Mins"
"RM, 80-82 Cohort (Baseline)","Income_Distribution","Household.Income.per.capita",709,-0.145348555213654,0.0372094837703681,-3.90622337333803,0.000102743936493984,0.000102743936493982,0.000165859176558886,0.000185487524129059,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Household Income per Capita"
"RM, 80-82 Cohort (Baseline)","Income_Distribution","Gini",709,0.34550369851302,0.0352928182330546,9.78963188010379,2.61951917494943e-21,2.61951917494956e-21,1.26812495182124e-11,2.86925797622776e-11,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Gini Coefficient"
"RM, 80-82 Cohort (Baseline)","Income_Distribution","Top.1..Income.Share",709,0.0188377532533969,0.0376021971703798,0.500974801234112,0.616544788034308,0.616544788034307,0.74565596262488,0.774660970439776,0.741,0.411658834116588,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Top 1% Income Share"
"RM, 80-82 Cohort (Baseline)","Income_Distribution","Gini.Bottom.99.",709,0.472668370632681,0.0331424556132829,14.2617184480212,9.59732811275882e-41,9.59732811275813e-41,1.04252314264404e-35,2.28795423021591e-35,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Gini Bottom 99%"
"RM, 80-82 Cohort (Baseline)","Income_Distribution","Frac..Between.p25.and.p75",709,-0.451103995553033,0.0335648411978038,-13.4397774413588,7.77333449858109e-37,7.77333449857941e-37,2.82798672563753e-26,7.07304508164622e-26,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Middle Class"
"RM, 80-82 Cohort (Baseline)","K12_Education","School.Expenditure.per.Student",701,-0.278512327030194,0.0363268992680682,-7.66683456727091,5.91558793840565e-14,5.91558793840571e-14,1.45243061771115e-14,2.13637361831251e-14,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"School Expenditure per Student"
"RM, 80-82 Cohort (Baseline)","K12_Education","Teacher.Student.Ratio",680,0.00946638263594441,0.0384030478218278,0.246500816285833,0.805369184613809,0.805369184613812,0.817410522730024,0.818779835358269,0.814,0.791220877912209,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Teacher-Student Ratio"
"RM, 80-82 Cohort (Baseline)","K12_Education","Test.Score.Percentile..Income.Adjusted",705,-0.316951835674307,0.0357711537324348,-8.86054271676782,6.46282187433157e-18,6.46282187433086e-18,7.52131192735875e-11,1.17270216196867e-10,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Test Score Percentile"
"RM, 80-82 Cohort (Baseline)","K12_Education","High.School.Dropout.Rate..Income.Adjusted.",593,0.327616892254767,0.0388643171438107,8.42976067333119,2.65137298825046e-16,2.65137298825026e-16,3.9198451054861e-12,8.9985889247385e-12,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"HS Dropout Rate"
"RM, 80-82 Cohort (Baseline)","Social_Capital","Social.Capital.Index",693,-0.32735124226506,0.0359457938136129,-9.10680242485256,9.00417951600091e-19,9.00417951600183e-19,7.76476731852605e-16,1.3218512814191e-15,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Social Capital Index"
"RM, 80-82 Cohort (Baseline)","Social_Capital","Fraction.Religious",709,-0.100822699200572,0.0374172313043173,-2.69455263486956,0.00721566668202173,0.0072156666820219,0.0180528551488487,0.0188187261367798,0.018,0.0024997500249975,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Religious"
"RM, 80-82 Cohort (Baseline)","Social_Capital","Violent.Crime.Rate",682,0.217386891621201,0.0374311709390652,5.80764336694379,9.72829595282859e-09,9.72829595282855e-09,0.0297931488088268,0.247341136805592,0,9.99900009999e-05,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"Violent Crime Rate"
"RM, 80-82 Cohort (Baseline)","Family_Structure","Fraction.of.Children.with.Single.Mothers",709,0.640587462564698,0.0288792957654923,22.1815472152244,3.75068444753303e-83,3.75068444753196e-83,4.94372500474846e-84,5.84625336454848e-83,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Single Mothers"
"RM, 80-82 Cohort (Baseline)","Family_Structure","Fraction.of.Adults.Divorced",709,0.158147452824444,0.0371355821461955,4.25865015934984,2.33463553288274e-05,2.33463553288268e-05,0.000213191361928643,0.000237898463225744,0.001,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Divorced"
"RM, 80-82 Cohort (Baseline)","Family_Structure","Fraction.of.Adults.Married",709,-0.369660879386494,0.0349449118754752,-10.5783892288458,2.22690024841768e-24,2.22690024841737e-24,7.35748328597337e-19,1.3455288010256e-18,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Married"
"RM, 80-82 Cohort (Baseline)","Tax","Local.Tax.Rate",708,-0.328021062548804,0.035553139865331,-9.22621922539865,3.19473940551214e-19,3.19473940551205e-19,5.31119001439366e-16,2.68583759101629e-15,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Local Tax Rate"
"RM, 80-82 Cohort (Baseline)","Tax","Local.Government.Expenditures.Per.Capita",707,-0.301287477647571,0.035912143697956,-8.38957095353567,2.65804634642257e-16,2.65804634642257e-16,6.99919882773916e-07,3.09072286486813e-05,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Local Gov Expenditures"
"RM, 80-82 Cohort (Baseline)","Tax","State.EITC.Exposure",709,-0.143731521935264,0.0372183672319063,-3.86184383209715,0.000122858280775068,0.000122858280775087,2.86500089572147e-08,4.79886250056492e-08,0,0.00999900009999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"State EITC Exposure"
"RM, 80-82 Cohort (Baseline)","Tax","State.Income.Tax.Progressivity",709,-0.150250201156736,0.0371819349957963,-4.04094625988999,5.90731360357487e-05,5.90731360357478e-05,3.52394371013038e-05,4.11367281813551e-05,0,0.0002999700029997,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"State Income Tax Progressivity"
"RM, 80-82 Cohort (Baseline)","College","Number.of.Colleges.per.Capita",584,-0.12509156748763,0.0411257417180731,-3.04168538394184,0.00245851784995326,0.00245851784995327,0.0146627689978247,0.0231386637467515,0.003,0.0006999300069993,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Colleges per Capita"
"RM, 80-82 Cohort (Baseline)","College","College.Tuition",580,0.109247499223715,0.0413455558611743,2.64230331285265,0.0084575100287066,0.00845751002870663,0.00556903111438479,0.00618526104297718,0.004,0.0134986501349865,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Mean College Tuition"
"RM, 80-82 Cohort (Baseline)","College","College.Graduation.Rate..Income.Adjusted.",581,-0.0246405981171665,0.0415459634955194,-0.59309247021853,0.553350855471502,0.553350855471504,0.539530737718672,0.542768583815577,0.52,0.562543745625437,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"College Grad Rate"
"RM, 80-82 Cohort (Baseline)","Local_Labor_Market","Labor.Force.Participation.Rate",709,-0.236547810670965,0.0365415253366296,-6.47339727862556,1.79190236129638e-10,1.79190236129631e-10,1.28308909132794e-08,1.65863348640831e-08,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Labor Force Participation"
"RM, 80-82 Cohort (Baseline)","Local_Labor_Market","Manufacturing.Employment.Share",709,0.392820891654148,0.0345856816258113,11.3579051557852,1.40949045012008e-27,1.40949045012037e-27,4.45235891740178e-23,9.04202776137475e-23,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Manufacturing Employment Share"
"RM, 80-82 Cohort (Baseline)","Local_Labor_Market","Growth.in.Chinese.Imports.1990.2000",693,0.170527099588421,0.0374845941978754,4.54925825495761,6.35839760335993e-06,6.35839760336015e-06,0.0119780364758235,0.0486103830746145,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Growth in Chinese Imports"
"RM, 80-82 Cohort (Baseline)","Local_Labor_Market","Teenage.Labor.Force.Participation.Rate",709,-0.515982230945512,0.0322157318205026,-16.0164677872422,1.72428721126246e-49,1.72428721126298e-49,1.79641482550134e-43,3.88454369311705e-43,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Teen Labor Force Participation"
"RM, 80-82 Cohort (Baseline)","Migration","Migration.Inflow.Rate",707,-0.0843988690519989,0.0375278020986908,-2.24896914639569,0.0248223916010907,0.0248223916010907,0.0135532400062803,0.0142676200134861,0.018,0.0421957804219578,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Migration Inflow Rate"
"RM, 80-82 Cohort (Baseline)","Migration","Migration.Outlflow.Rate",707,-0.149970972474855,0.0372362346866358,-4.02755471214925,6.24770004415147e-05,6.24770004415142e-05,2.24306257538457e-05,2.62555518163235e-05,0,0.0003999600039996,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Migration Outflow Rate"
